ID,Suburb,Address,Postcode,CouncilArea,Regionname,Price,SaleDate,Seller,Bedrooms,Bathrooms,CarSpaces,Landsize,Latitude,Longitude
1,Heidelberg West,7/459 Waterdale Rd,3081,Banyule,Eastern Metropolitan,463000,12/08/2017,hockingstuart,2,1,1,90,-37.74391,145.04669
2,Heidelberg West,17/459 Waterdale Rd,3081,Banyule,Eastern Metropolitan,444000,27/05/2017,Miles,2,1,1,94,-37.74432,145.04721
3,Heidelberg West,5/459 Waterdale Rd,3081,Banyule,Eastern Metropolitan,445000,8/07/2017,Miles,2,1,1,94,-37.74392,145.04692
4,Ivanhoe,2/123 Waterdale Rd,3079,Banyule,Eastern Metropolitan,975000,24/06/2017,Nelson,3,2,1,103,-37.76676,145.04333
5,Lower Plenty,1/29 Main Rd,3093,Banyule,Eastern Metropolitan,420000,12/08/2017,Fletchers,2,1,1,119,-37.72861,145.109
6,Heidelberg Heights,49C Dresden St,3081,Banyule,Eastern Metropolitan,680000,27/05/2017,Jellis,2,1,1,129,-37.74931,145.05505
7,Heidelberg,3/186 Hawdon St,3084,Banyule,Eastern Metropolitan,781000,24/06/2017,Miles,3,2,2,137,-37.74888,145.06593
8,Heidelberg Heights,2/3 Mary Av,3081,Banyule,Eastern Metropolitan,650000,15/07/2017,Barry,2,1,1,140,-37.74835,145.05042
9,Heidelberg Heights,4/32 Montgomery St,3081,Banyule,Eastern Metropolitan,720000,12/08/2017,Miles,3,1,1,146,-37.75132,145.05331
10,Watsonia,2/63 Devonshire Rd,3087,Banyule,Northern Metropolitan,604000,15/07/2017,Ray,2,1,1,151,-37.71298,145.08115
11,Heidelberg,3/62 Darebin St,3084,Banyule,Eastern Metropolitan,738000,27/05/2017,Miles,2,1,2,154,-37.75343,145.06328
12,Heidelberg,2/14 Edgar St,3084,Banyule,Eastern Metropolitan,835000,29/07/2017,hockingstuart,3,2,2,161,-37.74897,145.07024
13,Greensborough,1/39 Alexandra St,3088,Banyule,Northern Metropolitan,610000,15/07/2017,Darren,2,1,1,168,-37.70801,145.10689
14,Watsonia,2/10 Powley Pde,3087,Banyule,Northern Metropolitan,686000,29/07/2017,Darren,2,1,1,169,-37.71607,145.07884
15,Ivanhoe,6/36 Livingstone St,3079,Banyule,Eastern Metropolitan,985000,22/07/2017,Jellis,4,3,2,181,-37.76758,145.03883
16,Heidelberg Heights,2/34 Bamfield Rd,3081,Banyule,Eastern Metropolitan,715000,27/05/2017,Barry,3,2,2,192,-37.74128,145.05607
17,Heidelberg West,581 Waterdale Rd,3081,Banyule,Eastern Metropolitan,532000,27/05/2017,Ray,2,2,1,220,-37.73549,145.0487
18,Ivanhoe,4/75 Green St,3079,Banyule,Eastern Metropolitan,880000,22/07/2017,Miles,2,1,2,229,-37.7651,145.03452
19,Greensborough,1/111 Nepean St,3088,Banyule,Northern Metropolitan,585000,15/07/2017,Darren,2,1,1,240,-37.71254,145.09705
20,Rosanna,1/64 Lower Plenty Rd,3084,Banyule,Eastern Metropolitan,675000,3/06/2017,Miles,2,1,1,247,-37.74427,145.06293
21,Lower Plenty,4/38 Alma St,3093,Banyule,Eastern Metropolitan,650000,27/05/2017,Morrison,2,2,2,248,-37.72473,145.11657
22,Ivanhoe,3/40 Magnolia Rd,3079,Banyule,Eastern Metropolitan,880000,8/07/2017,Barry,3,2,1,252,-37.75842,145.05075
23,Watsonia North,2/32 Sellars St,3087,Banyule,Northern Metropolitan,655000,3/06/2017,Barry,3,2,1,253,-37.7004,145.09033
24,Montmorency,2/22 Looker Rd,3094,Banyule,Eastern Metropolitan,820000,15/07/2017,Buckingham,3,2,2,260,-37.72394,145.12456
25,Heidelberg,3/5 Austral Ct,3084,Banyule,Eastern Metropolitan,828000,17/06/2017,Miles,4,2,2,264,-37.74352,145.08082
26,Bellfield,2 Erica Ct,3081,Banyule,Eastern Metropolitan,736500,27/05/2017,Miles,2,1,1,271,-37.75329,145.04059
27,Heidelberg Heights,1/171 Waiora Rd,3081,Banyule,Eastern Metropolitan,630000,27/05/2017,Miles,3,1,1,277,-37.73426,145.05986
28,Montmorency,4/435 Main Rd,3094,Banyule,Eastern Metropolitan,569000,3/06/2017,Nelson,3,1,2,280,-37.73103,145.13404
29,Watsonia,1B High St,3087,Banyule,Northern Metropolitan,900000,12/08/2017,Barry,3,2,2,280,-37.71147,145.08003
30,Heidelberg Heights,1/5 Glover St,3081,Banyule,Eastern Metropolitan,590000,17/06/2017,Victory,3,1,2,290,-37.7368,145.05048
31,Viewbank,34 Martins La,3084,Banyule,Eastern Metropolitan,870000,27/05/2017,Miles,3,2,2,291,-37.73253,145.0873
32,Watsonia,1/34 Longmuir Rd,3087,Banyule,Northern Metropolitan,655000,15/07/2017,Darren,2,1,1,298,-37.71098,145.08926
33,Ivanhoe,6 Edwin St,3079,Banyule,Eastern Metropolitan,950000,12/08/2017,Nelson,3,1,2,360,-37.75715,145.04965
34,Heidelberg West,312 Liberty Pde,3081,Banyule,Eastern Metropolitan,605000,27/05/2017,Haughton,3,1,2,377,-37.73712,145.0369
35,Briar Hill,1/4 Box Rd,3088,Banyule,Eastern Metropolitan,590000,27/05/2017,Barry,3,1,2,392,-37.70433,145.12184
36,Montmorency,21 Beattie St,3094,Banyule,Eastern Metropolitan,806000,27/05/2017,Barry,3,1,0,396,-37.71665,145.11682
37,Montmorency,3/50 Airlie Rd,3094,Banyule,Eastern Metropolitan,960000,27/05/2017,Barry,3,2,2,397,-37.72331,145.11909
38,Heidelberg West,254 Liberty Pde,3081,Banyule,Eastern Metropolitan,590000,22/07/2017,Haughton,4,2,2,409,-37.74033,145.03696
39,Bundoora,15 Bent St,3083,Banyule,Northern Metropolitan,714000,27/05/2017,Barry,3,1,2,412,-37.6993,145.06193
40,Heidelberg,2/60 Darebin St,3084,Banyule,Eastern Metropolitan,915000,24/06/2017,Miles,4,2,2,419,-37.7537,145.06341
41,Ivanhoe,128 Green St,3079,Banyule,Eastern Metropolitan,1475000,27/05/2017,Nelson,3,1,2,424,-37.76353,145.02941
42,Heidelberg West,314 Liberty Pde,3081,Banyule,Eastern Metropolitan,580000,27/05/2017,Haughton,3,1,2,429,-37.73704,145.03697
43,Heidelberg Heights,396 Waterdale Rd,3081,Banyule,Eastern Metropolitan,697500,12/08/2017,Nelson,3,1,1,430,-37.74962,145.04658
44,Heidelberg West,12 Achilles St,3081,Banyule,Eastern Metropolitan,575500,8/07/2017,Miles,3,1,1,436,-37.73459,145.04394
45,Watsonia,42 Frensham Rd,3087,Banyule,Northern Metropolitan,835000,17/06/2017,Barry,3,2,1,447,-37.71627,145.08526
46,Rosanna,9 Darvall St,3084,Banyule,Eastern Metropolitan,1100000,27/05/2017,Fletchers,3,2,2,468,-37.74088,145.06285
47,Heidelberg West,37 Buna St,3081,Banyule,Eastern Metropolitan,600000,8/07/2017,Haughton,3,1,2,481,-37.73597,145.03916
48,Heidelberg West,54 Alamein Rd,3081,Banyule,Eastern Metropolitan,580000,15/07/2017,Harcourts,2,1,2,498,-37.73759,145.04236
49,Bundoora,33 Jacqueline Rd,3083,Banyule,Northern Metropolitan,690000,24/06/2017,Nelson,3,1,2,513,-37.69548,145.07377
50,Watsonia North,37 Huntley St,3087,Banyule,Northern Metropolitan,790000,8/07/2017,Barry,3,1,2,527,-37.70039,145.08957
51,Watsonia,61 Princes St,3087,Banyule,Northern Metropolitan,700000,12/08/2017,Morrison,3,1,1,530,-37.70598,145.07713
